stock,entry_date,exit_date,entry_price,exit_price,no_of_shares,return
SBILIFE,2020-02-14,2021-02-08,914.25,859.1,109,-6011.349999999998
MCDOWELL-N,2016-04-18,2017-04-13,479.59,380.37,208,-20637.759999999995
HAVELLS,2018-11-09,2019-11-01,646.55,688.35,154,6437.200000000011
INDIGO,2015-11-10,2016-09-23,877.25,921.35,113,4983.300000000003
DRREDDY,2016-02-01,2017-01-25,3050.5,2996.3,32,-1734.3999999999942
