stock,entry_date,exit_date,entry_price,exit_price,no_of_shares,return
NESTLEIND,2018-08-30,2019-08-23,11286.4,12438.65,8,9218.0
HINDUNILVR,2019-07-19,2020-07-13,1720.4,2265.25,58,31601.299999999996
DABUR,2018-05-31,2019-05-24,383.3,399.05,260,4095.0
ATGL,2020-08-31,2021-08-25,169.75,1241.85,589,631466.8999999999
COLPAL,2017-01-02,2017-12-27,900.3,1079.45,111,19885.65000000001
