stock,entry_date,exit_date,entry_price,exit_price,no_of_shares,return
VBL,2020-03-31,2021-03-26,117.66,220.8,849,87565.86000000002
COALINDIA,2021-12-24,2022-12-19,145.9,227.3,685,55759.00000000001
GODREJCP,2015-06-15,2016-06-09,375.03,505.85,266,34798.12000000001
ICICIBANK,2015-08-31,2016-08-23,252.64,227.45,395,-9950.05
ADANIPORTS,2018-08-13,2019-08-08,377.15,373.95,265,-847.999999999997
