stock,entry_date,exit_date,entry_price,exit_price,no_of_shares,return
HEROMOTOCO,2021-03-15,2022-03-09,3264.15,2290.5,30,-29209.500000000004
HCLTECH,2020-01-28,2021-01-22,601.45,985.8,166,63802.099999999984
TORNTPHARM,2020-02-26,2021-02-19,1125.55,1248.5,88,10819.600000000004
DMART,2018-01-08,2019-01-01,1226.8,1590.75,81,29479.950000000004
DIVISLAB,2016-07-11,2017-07-04,1150.3,655.05,86,-42591.5
