stock,entry_date,exit_date,entry_price,exit_price,no_of_shares,return
MOTHERSON,2021-09-30,2022-09-23,150.63,78.73,663,-47669.7
ABB,2020-05-22,2021-05-17,730.1,1420.75,136,93928.4
ITC,2020-03-03,2021-02-26,193.85,203.85,515,5150.0
SBILIFE,2020-05-14,2021-05-07,746.75,1000.25,133,33715.5
ONGC,2022-03-30,2023-03-24,162.0,149.4,617,-7774.199999999996
