stock,entry_date,exit_date,entry_price,exit_price,no_of_shares,return
ATGL,2020-08-17,2021-08-10,160.95,886.4,621,450504.45
MARUTI,2020-06-02,2021-05-28,5690.1,6970.0,17,21758.299999999996
ZYDUSLIFE,2019-01-04,2019-12-30,344.2,255.35,290,-25766.5
ONGC,2021-11-22,2022-11-15,146.55,142.35,682,-2864.4000000000115
SHREECEM,2015-05-25,2016-05-17,11679.5,12881.65,8,9617.199999999997
