stock,entry_date,exit_date,entry_price,exit_price,no_of_shares,return
ZOMATO,2022-05-24,2023-05-19,64.95,64.5,1539,-692.5500000000044
TITAN,2016-10-26,2017-10-19,375.55,606.95,266,61552.40000000001
TATAPOWER,2015-10-08,2016-09-30,70.25,75.4,1423,7328.450000000008
MUTHOOTFIN,2020-02-24,2021-02-17,933.45,1323.45,107,41730.0
ICICIBANK,2019-10-07,2020-09-29,416.1,357.05,240,-14172.000000000004
