stock,entry_date,exit_date,entry_price,exit_price,no_of_shares,return
UPL,2017-10-10,2018-10-05,546.4,397.77,183,-27199.29
BAJAJ-AUTO,2018-12-14,2019-12-09,2823.15,3225.55,35,14084.000000000004
ICICIPRULI,2021-11-23,2022-11-18,616.25,469.7,162,-23741.100000000002
LTIM,2022-03-02,2023-02-24,5861.3,4853.55,17,-17131.75
APOLLOHOSP,2018-07-06,2019-07-01,1016.75,1370.7,98,34687.100000000006
