stock,entry_date,exit_date,entry_price,exit_price,no_of_shares,return
VEDL,2021-03-31,2022-03-25,228.75,410.55,437,79446.6
JINDALSTEL,2020-04-20,2021-04-13,90.6,409.45,1103,351691.55000000005
BEL,2020-12-14,2021-12-09,39.52,69.25,2530,75216.9
BPCL,2022-05-26,2023-05-19,324.35,360.3,308,11072.599999999997
BRITANNIA,2018-06-01,2019-05-27,2906.23,2896.55,34,-329.11999999999443
