stock,entry_date,exit_date,entry_price,exit_price,no_of_shares,return
BAJAJ-AUTO,2022-02-28,2023-02-22,3530.35,3840.7,28,8689.799999999997
M&M,2020-10-26,2021-10-21,597.15,897.0,167,50074.950000000004
HINDUNILVR,2022-01-17,2023-01-12,2389.55,2590.05,41,8220.5
SIEMENS,2017-03-20,2018-03-15,1246.9,1132.6,80,-9144.000000000015
INDUSINDBK,2018-04-02,2019-03-26,1804.6,1714.65,55,-4947.24999999999
