stock,entry_date,exit_date,entry_price,exit_price,no_of_shares,return
DLF,2021-11-04,2022-10-28,430.85,384.6,232,-10730.0
PIDILITIND,2020-04-28,2021-04-23,1554.45,1783.9,64,14684.800000000003
UPL,2015-07-01,2016-06-24,364.8,360.13,274,-1279.5800000000045
ABB,2016-06-30,2017-06-23,1223.95,1443.35,81,17771.39999999999
JSWSTEEL,2019-04-22,2020-04-13,291.25,167.65,343,-42394.799999999996
