stock,entry_date,exit_date,entry_price,exit_price,no_of_shares,return
SRF,2016-06-13,2017-06-06,259.88,325.9,384,25351.679999999993
BERGEPAINT,2017-07-24,2018-07-19,212.67,256.92,470,20797.500000000015
TATASTEEL,2019-10-24,2020-10-16,35.99,39.39,2778,9445.199999999995
ITC,2017-08-07,2018-08-02,279.85,299.2,357,6907.949999999988
EICHERMOT,2017-10-26,2018-10-19,3161.76,2162.53,31,-30976.13
