stock,entry_date,exit_date,entry_price,exit_price,no_of_shares,return
NAUKRI,2017-05-30,2018-05-25,912.65,1169.5,109,27996.65
HDFCLIFE,2020-06-02,2021-05-28,499.7,668.95,200,33850.000000000015
HINDUNILVR,2020-08-26,2021-08-20,2182.8,2619.4,45,19646.999999999996
MUTHOOTFIN,2021-01-22,2022-01-17,1165.4,1496.25,85,28122.249999999993
LT,2017-04-17,2018-04-12,1120.9,1357.45,89,21052.949999999997
