stock,entry_date,exit_date,entry_price,exit_price,no_of_shares,return
HAL,2020-06-08,2021-06-02,330.02,518.53,303,57118.53
ULTRACEMCO,2016-11-01,2017-10-27,3976.75,4439.85,25,11577.50000000001
BRITANNIA,2022-10-13,2023-10-06,3784.6,4538.45,26,19600.1
DMART,2021-12-06,2022-12-01,4593.45,4044.15,21,-11535.299999999994
COLPAL,2015-08-17,2016-08-10,990.4,959.8,100,-3060.0000000000023
