stock,entry_date,exit_date,entry_price,exit_price,no_of_shares,return
ICICIPRULI,2022-01-27,2023-01-20,543.35,470.7,184,-13367.600000000006
SUNPHARMA,2015-11-20,2016-11-11,725.85,688.0,137,-5185.4500000000035
SBIN,2020-05-15,2021-05-10,166.4,361.7,600,117179.99999999999
TVSMOTOR,2017-11-06,2018-10-30,706.75,539.65,141,-23561.100000000002
TATAPOWER,2021-09-22,2022-09-16,137.85,236.3,725,71376.25000000001
