stock,entry_date,exit_date,entry_price,exit_price,no_of_shares,return
ICICIGI,2017-09-27,2018-08-29,681.2,793.25,146,16359.299999999994
INFY,2018-03-27,2019-03-22,577.0,743.1,173,28735.300000000003
CHOLAFIN,2021-01-11,2022-01-04,426.8,546.05,234,27904.499999999985
AMBUJACEM,2021-10-18,2022-10-13,410.6,496.85,243,20958.75
PNB,2020-06-15,2021-06-09,33.65,40.6,2971,20648.450000000008
