stock,entry_date,exit_date,entry_price,exit_price,no_of_shares,return
ONGC,2017-01-27,2018-01-22,204.5,200.7,488,-1854.4000000000055
MARICO,2017-03-14,2018-03-09,281.95,308.6,354,9434.100000000011
HINDALCO,2020-11-02,2021-10-27,170.75,479.85,585,180823.5
ICICIBANK,2021-02-12,2022-02-07,647.6,786.4,154,21375.199999999993
DLF,2018-08-13,2019-08-07,194.15,165.9,515,-14548.75
