stock,entry_date,exit_date,entry_price,exit_price,no_of_shares,return
ITC,2018-05-07,2019-04-30,282.25,301.35,354,6761.400000000008
TATACONSUM,2016-04-13,2017-04-07,120.65,150.6,828,24798.59999999999
TRENT,2015-03-23,2016-03-17,146.27,145.94,683,-225.39000000000854
GAIL,2017-04-27,2018-04-20,104.6,110.18,956,5334.480000000012
SHREECEM,2017-09-04,2018-08-28,17864.0,18780.15,5,4580.750000000007
