stock,entry_date,exit_date,entry_price,exit_price,no_of_shares,return
BEL,2019-09-23,2020-09-17,37.48,34.52,2668,-7897.279999999983
KOTAKBANK,2016-08-22,2017-08-14,772.85,982.6,129,27057.75
NAUKRI,2021-11-15,2022-11-07,6342.7,3942.65,15,-36000.74999999999
GAIL,2017-03-01,2018-02-23,94.94,114.6,1053,20701.979999999996
ATGL,2019-07-31,2020-07-24,153.05,147.7,653,-3493.5500000000147
