stock,entry_date,exit_date,entry_price,exit_price,no_of_shares,return
ASIANPAINT,2019-06-14,2020-06-08,1412.75,1634.25,70,15505.0
DRREDDY,2015-01-23,2016-01-18,3349.6,2874.9,29,-13766.299999999996
BRITANNIA,2019-01-14,2020-01-08,3113.65,3023.6,32,-2881.600000000006
ATGL,2018-11-05,2019-08-29,75.6,143.85,1322,90226.5
CHOLAFIN,2019-02-18,2020-02-13,230.69,337.0,433,46032.23
