stock,entry_date,exit_date,entry_price,exit_price,no_of_shares,return
DABUR,2018-07-30,2019-07-24,393.45,420.95,254,6985.0
UPL,2018-06-20,2019-06-14,434.83,670.67,229,54007.35999999999
BHARTIARTL,2022-12-02,2023-10-20,848.65,945.2,117,11296.350000000008
MCDOWELL-N,2021-02-08,2022-02-03,580.2,887.7,172,52890.0
HINDUNILVR,2015-01-14,2016-01-08,924.05,809.85,108,-12333.599999999993
