stock,entry_date,exit_date,entry_price,exit_price,no_of_shares,return
NAUKRI,2017-09-11,2018-09-05,967.35,1643.8,103,69674.34999999999
ADANIGREEN,2018-06-18,2019-03-26,31.5,35.95,3174,14124.300000000008
SHRIRAMFIN,2019-05-27,2020-05-19,1138.25,587.1,87,-47950.049999999996
PIDILITIND,2021-02-09,2022-02-04,1762.05,2481.8,56,40306.000000000015
SRF,2021-01-05,2021-12-31,1139.05,2420.1,87,111451.34999999999
