stock,entry_date,exit_date,entry_price,exit_price,no_of_shares,return
INFY,2016-06-07,2017-06-02,628.7,484.73,159,-22891.230000000003
SHREECEM,2018-10-29,2019-10-22,13511.05,19515.6,7,42031.84999999999
DMART,2018-10-26,2019-10-18,1226.6,1924.85,81,56558.25
COLPAL,2018-01-23,2019-01-18,1157.15,1310.8,86,13213.899999999989
TRENT,2018-03-14,2019-03-08,345.05,335.0,289,-2904.4500000000035
