stock,entry_date,exit_date,entry_price,exit_price,no_of_shares,return
TITAN,2019-08-27,2020-08-21,1123.7,1138.1,88,1267.199999999988
HAL,2018-03-28,2018-05-21,566.42,510.67,176,-9811.999999999989
TECHM,2020-03-02,2021-02-25,744.55,957.8,134,28575.5
COLPAL,2018-08-27,2019-08-21,1157.9,1199.15,86,3547.5
CANBK,2022-09-08,2023-09-01,245.0,328.4,408,34027.19999999999
