stock,entry_date,exit_date,entry_price,exit_price,no_of_shares,return
IOC,2019-10-11,2020-10-05,95.6,50.37,1046,-47310.579999999994
CIPLA,2022-02-24,2023-02-17,895.8,1025.75,111,14424.450000000004
ICICIPRULI,2021-04-19,2022-04-13,452.05,541.0,221,19657.949999999997
ADANIPORTS,2015-09-01,2016-08-26,342.25,257.7,292,-24688.600000000002
ICICIBANK,2017-01-24,2018-01-19,233.77,353.6,427,51167.41
