stock,entry_date,exit_date,entry_price,exit_price,no_of_shares,return
BPCL,2016-06-01,2017-05-26,329.03,499.77,303,51734.22
MOTHERSON,2021-08-20,2022-08-12,135.53,81.83,737,-39576.9
HCLTECH,2021-07-12,2022-07-05,979.45,982.15,102,275.39999999999304
NAUKRI,2016-11-25,2017-11-20,909.95,1207.6,109,32443.849999999984
CANBK,2018-11-16,2019-11-11,263.7,203.4,379,-22853.699999999993
