stock,entry_date,exit_date,entry_price,exit_price,no_of_shares,return
HEROMOTOCO,2019-02-04,2020-01-29,2780.15,2486.35,35,-10283.000000000007
TATAMTRDVR,2021-04-15,2022-04-08,133.7,233.6,747,74625.3
COALINDIA,2016-03-08,2017-02-28,324.05,321.9,308,-662.2000000000105
M&M,2015-05-27,2016-05-20,611.4,646.55,163,5729.449999999996
MCDOWELL-N,2015-08-18,2016-08-12,700.94,454.22,142,-35034.240000000005
