stock,entry_date,exit_date,entry_price,exit_price,no_of_shares,return
MARICO,2019-01-09,2020-01-03,383.75,334.6,260,-12778.999999999995
AXISBANK,2018-06-01,2019-05-27,536.65,813.9,186,51568.5
ADANIGREEN,2018-06-18,2019-02-18,31.5,30.25,3174,-3967.5
TORNTPHARM,2018-06-05,2019-05-31,699.28,782.42,143,11889.019999999999
MARUTI,2022-05-26,2023-05-19,7805.0,9105.95,12,15611.400000000009
