stock,entry_date,exit_date,entry_price,exit_price,no_of_shares,return
LT,2022-02-23,2023-02-17,1820.3,2226.35,54,21926.699999999997
INFY,2017-06-27,2018-06-21,463.52,623.28,215,34348.4
SRF,2018-08-28,2019-08-23,389.83,561.97,256,44067.84000000001
ICICIPRULI,2020-07-06,2021-06-30,435.2,612.7,229,40647.500000000015
COALINDIA,2015-12-24,2016-12-16,322.3,288.25,310,-10555.500000000004
