stock,entry_date,exit_date,entry_price,exit_price,no_of_shares,return
BPCL,2020-09-17,2021-09-09,415.6,491.15,240,18131.99999999999
JINDALSTEL,2018-06-25,2019-06-18,226.05,151.55,442,-32929.0
SBILIFE,2018-11-27,2019-11-22,570.5,942.65,175,65126.24999999999
IOC,2016-05-11,2017-05-05,68.28,144.37,1464,111395.76000000001
ICICIGI,2022-06-06,2023-06-01,1200.85,1225.25,83,2025.2000000000075
